Wilburn,Odessa
Bennett,Veronica
Casper,Aimee
Christ,Annabel
Dell,Ava
Egbert,Bella
Elmo,Carolina
Fay,Cathrine
Gabriel,Christena
Hector,Clyde
Horatio,Dena
Lige,Dolores
Saul,Eleanore
Smith,Elmira
Squire,Fay
Tobe,Frank
Tommie,Jenny
Wyatt,Kizzie
Alford,Lonnie
Alma,Loula
Alton,Magdalene
Andres,Mettie
Burl,Mintie
Cicero,Peggy
Dean,Reba
Dorsey,Serena
Enos,Vida
Howell,Zada
Lou,Abigail
Loyd,Celestine
Mahlon,Celina
Nat,Claudie
Omar,Clemmie
Oran,Connie
Parker,Daisie
Raleigh,Deborah
Reginald,Dessa
Rubin,Easter
Seymour,Eddie
Wm,Emelia
Young,Emmie
Benjamine,Imogene
Carey,India
Carlton,Jeanne
Eldridge,Joan
Elzie,Lenore
Garrett,Liddie
Isham,Lotta
Johnson,Mame
Larry,Nevada
Logan,Rachael
Merrill,Sina
Mont,Willa
Oren,Aline
Pierre,Beryl
Rex,Charles
Rodney,Daisey
Ted,Dorcas
Webster,Edmonia
West,Effa
Wheeler,Eldora
Willam,Eloise
Al,Emmer
Aloysius,Era
Alvie,Gena
Anna,Henry
Art,Iris
Augustine,Izora
Bailey,Lennie
Benjaman,Lissie
Beverly,Mallie
Bishop,Malvina
Clair,Mathilde
Cloyd,Mazie
Coleman,Queenie
Dana,Robert
Duncan,Rosina
Dwight,Salome
Emile,Theodora
Evert,Therese
Henderson,Vena
Hunter,Wanda
Jean,Wilda
Lem,Altha
Luis,Anastasia
Mathias,Besse
Maynard,Bird
Miguel,Birtie
Mortimer,Clarissa
Nels,Claude
Norris,Delilah
Pat,Diana
Phil,Emelie
Rush,Erna
Santiago,Fern
Sol,Florida
Sydney,Frona
Thaddeus,Hilma
Thornton,Joseph
Tim,Juliet
Travis,Leonie
Truman,Lugenia
Watson,Mammie
Webb,Manda
Wellington,Manerva
Winfred,Manie
Wylie,Nella
Alec,Paulina
Basil,Philomena
Baxter,Rae
Bertrand,Selina
Buford,Sena
Burr,Theodosia
Cleveland,Tommie
Colonel,Una
Dempsey,Vernie
Early,Adela
Ellsworth,Althea
Fate,Amalia
Finley,Amber
Gabe,Angelina
Garland,Annabelle
Gerald,Anner
Herschel,Arie
